18:35:20.707131 config: drop-rate=0.20, max-delay=10ms, seed=1
18:35:20.707781 router is listening at :3000
18:38:51.539822 [queue=1] packet #1, 127.0.0.1:54846 -> 127.0.0.1:8080, sz=23 is delayed for 8.7ms
18:38:51.550605 [queue=0] packet #1, 127.0.0.1:54846 -> 127.0.0.1:8080, sz=23 is delivered
18:38:51.552804 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:54846, sz=14 is delayed for 5.9ms
18:38:51.559773 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:54846, sz=14 is delivered
18:38:51.561209 [queue=1] packet #2, 127.0.0.1:56029 -> 127.0.0.1:8080, sz=32 is delayed for 1.8ms
18:38:51.563559 [queue=0] packet #2, 127.0.0.1:56029 -> 127.0.0.1:8080, sz=32 is delivered
18:38:51.797368 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:56029, sz=338 is dropped
18:38:54.562996 [queue=0] packet #2, 127.0.0.1:56029 -> 127.0.0.1:8080, sz=32 is dropped
18:38:57.564854 [queue=0] packet #2, 127.0.0.1:56029 -> 127.0.0.1:8080, sz=32 is dropped
18:39:00.566413 [queue=1] packet #2, 127.0.0.1:56029 -> 127.0.0.1:8080, sz=32 is delayed for 9.4ms
18:39:00.576931 [queue=0] packet #2, 127.0.0.1:56029 -> 127.0.0.1:8080, sz=32 is delivered
18:39:00.582666 [queue=1] packet #2, 127.0.0.1:8080 -> 127.0.0.1:56029, sz=338 is delayed for 6.2ms
18:39:00.590012 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:56029, sz=338 is delivered
18:39:00.591481 [queue=1] packet #3, 127.0.0.1:56029 -> 127.0.0.1:8080, sz=15 is delayed for 2.8ms
18:39:00.594834 [queue=0] packet #3, 127.0.0.1:56029 -> 127.0.0.1:8080, sz=15 is delivered
18:39:00.595201 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:56029, sz=5 is delayed for 1.1ms
18:39:00.596561 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:56029, sz=5 is delivered
18:39:00.596785 [queue=1] packet #4, 127.0.0.1:56029 -> 127.0.0.1:8080, sz=2 is delayed for 3.7ms
18:39:00.601158 [queue=0] packet #4, 127.0.0.1:56029 -> 127.0.0.1:8080, sz=2 is delivered
18:49:11.091920 config: drop-rate=0.20, max-delay=10ms, seed=1
18:49:11.093065 router is listening at :3000
09:38:42.803671 config: drop-rate=0.20, max-delay=10ms, seed=1
09:38:42.804927 router is listening at :3000
09:59:44.575202 config: drop-rate=0.20, max-delay=10ms, seed=1
09:59:44.576408 failed to listen on port listen udp :3000: bind: Only one usage of each socket address (protocol/network address/port) is normally permitted.
10:00:13.300543 config: drop-rate=0.20, max-delay=10ms, seed=1
